,decoding,RSA,t,POS,CIDEr,informativity
0,greedy,0,n.a.,0,0.06700826772457766,0.7235772357723578
1,beam search,0,n.a.,0,0.05269160672493144,0.6812152332049636
2,greedy,1,0,0,0.052956668270675744,0.9589216944801027
3,beam search,1,0,0,0.06796515388657359,0.714163457424048
4,greedy,1,1,0,0.060351739332792004,0.8789045785194695
5,beam search,1,1,0,0.054675455636537446,0.6683782627299957
6,greedy,1,0,1,0.05637326616840582,0.8168592212237912
7,beam search,1,0,1,0.05793115811007369,0.6118955926401369
